Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Bulgaria,Included / International,Price / International,Compare At Price / International,Status
14k-gold-chain-connector,Vitamin B12 Test Kit,"<meta charset=""utf-8"">
<p><meta charset=""utf-8""><span>Vitamin B12 is essential for your health and wellbeing and performs several important</span><br><span>functions in the body, including keeping the nervous system healthy.</span></p>
<h4>Analyses<br>
</h4>
<h4><img height=""37"" width=""40"" src=""https://cdn.shopify.com/s/files/1/0571/4912/8748/files/Vitamins2_480x480.png?v=1676632443"" alt=""""></h4>
<h4></h4>
<h4></h4>",Nicole Rose,Health & Beauty > Health Care > Medical Tests > Allergy Test Kits,Shop,"",true,At-home medical test,Book a nurse appointment for an at-home test.,Get tested by yourself,get your own sample and send it to us.,,,'16064,0.0,shopify,14,continue,manual,295.00,0.00,true,false,"",https://cdn.shopify.com/s/files/1/0807/2966/9928/products/image5_6a90e6e3-d0b5-4eab-a430-754267395057.png?v=1691755870,1,,false,,,,,,,,,,,,,,,lb,,140.00,true,true,,,active
14k-gold-chain-connector,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/2966/9928/products/image5_27f12482-32ef-44aa-9fda-ff10cda67f8f.png?v=1691755870,2,,,,,,,,,,,,,,,,,,,,,,,,
14k-gold-chain-connector,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/2966/9928/products/image5_76e5ba9d-0e58-4817-84fe-30825ae0c03f.png?v=1691755870,3,,,,,,,,,,,,,,,,,,,,,,,,
14k-white-gold-round-and-baguette-diamond-pendant,14K White Gold Round and Baguette Diamond Pendant,"<p>14K white gold round and baguette diamond circle pendant.</p>
<p>*Diamond weight:0.45. Color:G-H Clarity:VS.</p>
<p>*Available in rose. white and yellow gold.</p>
<p>*Please contact us for all inquiries.</p>",Diamond,,Shop,"By Category, By Collection, Diamonds, Necklaces, Nicole Rose Gifts Under $1500, Pendants",false,14k Gold Color,14k White Gold,Necklace Length,15 inch,,,SKU14115-07138FBB,0.0,,-1,deny,manual,850.00,,true,false,,https://cdn.shopify.com/s/files/1/0807/2966/9928/products/14115__95582.1525141574.1280.1280.jpg?v=1691755873,1,14K White Gold Round and Baguette Diamond Pendant,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/2966/9928/products/14115__95582.1525141574.1280.1280.jpg?v=1691755873,oz,,,true,true,,,active
14k-white-gold-round-and-baguette-diamond-pendant,,,,,,,,,14k White Gold,,16 inch,,,SKU14115-51B213F6,0.0,,-1,deny,manual,850.00,,true,false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/2966/9928/products/14115__95582.1525141574.1280.1280.jpg?v=1691755873,oz,,,,,,,
14k-white-gold-round-and-baguette-diamond-pendant,,,,,,,,,14k White Gold,,17 inch,,,SKU14115-ADC0384B,0.0,,0,deny,manual,850.00,,true,false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/2966/9928/products/14115__95582.1525141574.1280.1280.jpg?v=1691755873,oz,,,,,,,
14k-white-gold-round-and-baguette-diamond-pendant,,,,,,,,,14k White Gold,,18 inch,,,SKU14115-8D403576,0.0,,0,deny,manual,850.00,,true,false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/2966/9928/products/14115__95582.1525141574.1280.1280.jpg?v=1691755873,oz,,,,,,,
14k-white-gold-round-and-baguette-diamond-pendant,,,,,,,,,14k White Gold,,19 inch,,,SKU14115-0B97EE84,0.0,,0,deny,manual,850.00,,true,false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/2966/9928/products/14115__95582.1525141574.1280.1280.jpg?v=1691755873,oz,,,,,,,
14k-white-gold-round-and-baguette-diamond-pendant,,,,,,,,,14k White Gold,,20 inch,,,SKU14115-A1E7B967,0.0,,0,deny,manual,850.00,,true,false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/2966/9928/products/14115__95582.1525141574.1280.1280.jpg?v=1691755873,oz,,,,,,,
14k-white-gold-round-and-baguette-diamond-pendant,,,,,,,,,14k Yellow Gold,,15 inch,,,SKU14115-921E6766,0.0,,0,deny,manual,850.00,,true,false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/2966/9928/products/14115__95582.1525141574.1280.1280.jpg?v=1691755873,oz,,,,,,,
14k-white-gold-round-and-baguette-diamond-pendant,,,,,,,,,14k Yellow Gold,,16 inch,,,SKU14115-99435C40,0.0,,0,deny,manual,850.00,,true,false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/2966/9928/products/14115__95582.1525141574.1280.1280.jpg?v=1691755873,oz,,,,,,,
14k-white-gold-round-and-baguette-diamond-pendant,,,,,,,,,14k Yellow Gold,,17 inch,,,SKU14115-35BCACC2,0.0,,0,deny,manual,850.00,,true,false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/2966/9928/products/14115__95582.1525141574.1280.1280.jpg?v=1691755873,oz,,,,,,,
14k-white-gold-round-and-baguette-diamond-pendant,,,,,,,,,14k Yellow Gold,,18 inch,,,SKU14115-D3DA4494,0.0,,0,deny,manual,850.00,,true,false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/2966/9928/products/14115__95582.1525141574.1280.1280.jpg?v=1691755873,oz,,,,,,,
14k-white-gold-round-and-baguette-diamond-pendant,,,,,,,,,14k Yellow Gold,,19 inch,,,SKU14115-C3C44D65,0.0,,0,deny,manual,850.00,,true,false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/2966/9928/products/14115__95582.1525141574.1280.1280.jpg?v=1691755873,oz,,,,,,,
14k-white-gold-round-and-baguette-diamond-pendant,,,,,,,,,14k Yellow Gold,,20 inch,,,SKU14115-7B7C037E,0.0,,0,deny,manual,850.00,,true,false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/2966/9928/products/14115__95582.1525141574.1280.1280.jpg?v=1691755873,oz,,,,,,,
14k-white-gold-round-and-baguette-diamond-pendant,,,,,,,,,14k Rose Gold,,15 inch,,,SKU14115-5B4EC87A,0.0,,0,deny,manual,850.00,,true,false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/2966/9928/products/14115__95582.1525141574.1280.1280.jpg?v=1691755873,oz,,,,,,,
14k-white-gold-round-and-baguette-diamond-pendant,,,,,,,,,14k Rose Gold,,16 inch,,,SKU14115-39E0F151,0.0,,0,deny,manual,850.00,,true,false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/2966/9928/products/14115__95582.1525141574.1280.1280.jpg?v=1691755873,oz,,,,,,,
14k-white-gold-round-and-baguette-diamond-pendant,,,,,,,,,14k Rose Gold,,17 inch,,,SKU14115-C20223D3,0.0,,0,deny,manual,850.00,,true,false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/2966/9928/products/14115__95582.1525141574.1280.1280.jpg?v=1691755873,oz,,,,,,,
14k-white-gold-round-and-baguette-diamond-pendant,,,,,,,,,14k Rose Gold,,18 inch,,,SKU14115-EAEA6907,0.0,,0,deny,manual,850.00,,true,false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/2966/9928/products/14115__95582.1525141574.1280.1280.jpg?v=1691755873,oz,,,,,,,
14k-white-gold-round-and-baguette-diamond-pendant,,,,,,,,,14k Rose Gold,,19 inch,,,SKU14115-CBBA448B,0.0,,0,deny,manual,850.00,,true,false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/2966/9928/products/14115__95582.1525141574.1280.1280.jpg?v=1691755873,oz,,,,,,,
14k-white-gold-round-and-baguette-diamond-pendant,,,,,,,,,14k Rose Gold,,20 inch,,,SKU14115-6162B493,0.0,,0,deny,manual,850.00,,true,false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0807/2966/9928/products/14115__95582.1525141574.1280.1280.jpg?v=1691755873,oz,,,,,,,
